Pakri,25.5876,85.158,Bihar,9768
Hunasamaranhalli,13.1435,77.62,Karnataka,9741
Hesarghatta,13.1391,77.4783,Karnataka,9485
Bommayapalaiyam,11.9922,79.8499,Tamil Nadu,8796
Gundur,10.7339,78.7184,Tamil Nadu,8587
Punadih,25.5484,85.2649,Bihar,8273
Hariladih,23.7333,86.4,Jharkhand,7917
Alawalpur,25.4958,85.2021,Bihar,7827
Madnaikanhalli,13.0626,77.4642,Karnataka,7805
Bagalur,13.133,77.666,Karnataka,7519
Kadiganahalli,13.1687,77.6283,Karnataka,7225
Khanpur Zabti,28.7103,77.2781,Uttar Pradesh,6994
Mahuli,25.543,85.2268,Bihar,6683
Zeyadah Kot,22.4445,88.3345,West Bengal,6457
Arshakunti,13.0785,77.4225,Karnataka,6262
Mirchi,25.5554,85.2139,Bihar,5710
Sonudih,25.1155,87.0214,Bihar,5658
Bayandhalli,12.9779,77.5688,Karnataka,5118
Sondekoppa,13,77.3667,Karnataka,4866
Babura,25.0851,87.1092,Bihar,4755
Madavar,13.0525,77.4732,Karnataka,4678
Kadabgeri,12.9965,77.4331,Karnataka,4573
Nanmangalam,12.9381,80.1753,Tamil Nadu,4386
Taliganja,22.5041,88.3598,West Bengal,4278
Tarchha,25.1116,87.0964,Bihar,4198
Belgharia,22.6581,88.3852,West Bengal,4193
Kammanhalli,13.0155,77.6381,Karnataka,4144
Ambapuram,16.599,80.8938,Andhra Pradesh,4110
Sonnappanhalli,13.1557,77.6179,Karnataka,3996
Kedihati,22.6508,88.4608,West Bengal,3910
Doddajivanhalli,13.0086,77.6143,Karnataka,3792
Simli Murarpur,25.5792,85.2401,Bihar,3739
Sonawan,25.5445,85.2387,Bihar,3682
Devanandapur,22.9326,88.3729,West Bengal,3449
Tribeni,22.9867,88.3987,West Bengal,3305
Huttanhalli,13.1651,77.6512,Karnataka,3240
Nathupur,25.5163,85.2544,Bihar,3129
Bali,25.481,85.2227,Bihar,3128
Vajarhalli,13.1022,77.4111,Karnataka,3009
Alija Kotla,17.2333,78.55,Telangana,3000
